barcode	71	76	77	79	81	84	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	200	201	202	203	204	205	215	216	220	223	224	226	227	228	231	233	234	235	237	238	241	242	243	244	245	249	250	254	255	256	258
A1B235	0	0	0	0	0	0	0	0	0	0	1	4	1	5	1	4	0	0	0	1	3	1	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1B236	0	0	0	0	0	0	0	3	0	0	0	0	2	0	1	1	0	2	0	1	1	3	2	0	4	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1B237	0	0	0	0	0	0	0	1	0	2	1	2	0	0	0	1	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1B238	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1B239	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1B240	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	2	0	2	0	2	2	0	2	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1B241	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	1	0	1	0	1	0	2	1	1	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1B242	0	0	0	0	0	0	1	2	0	0	0	2	2	1	0	0	0	0	0	1	0	0	1	2	0	0	1	0	1	2	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1B243	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	1	0	2	1	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1B244	0	0	0	0	0	0	0	1	1	0	1	1	2	11	0	0	0	1	19	0	2	3	1	0	2	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1B245	0	0	0	1	1	0	0	2	1	1	0	0	3	1	0	2	0	2	347	0	0	6	7	0	14	1	1	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1B246	0	0	0	0	0	0	0	1	2	1	0	1	0	1	1	4	0	2	0	1	0	1	3	0	1	0	1	0	0	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1B247	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	5	0	2	1	1	1	5	1	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
A20B224	0	0	0	0	0	0	0	2	0	1	49	0	0	0	0	2	0	3	0	3	0	4	5	0	1	0	0	0	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A20B225	0	0	0	0	0	0	0	3	1	0	23	0	0	0	2	2	0	1	0	2	0	2	4	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A20B226	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A20B227	0	0	0	0	0	0	0	1	1	0	5	0	3	0	0	3	0	1	0	1	0	1	4	1	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A20B228	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	3	0	1	1	3	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A20B229	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	1	0	1	0	1	3	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
