	BC-456	BC-457	BC-458	BC-459	BC-460	BC-461	BC-464	BC-465	BC-466	BC-467	BC-468	BC-469	BC-470	BC-471	BC-472	BC-473	BC-474	BC-475	BC-476	BC-477
A1B238	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A1B239	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A1B240	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A1B241	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A1B242	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A1B243	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A1B244	1	1	1	1	1	1	0.0141756790351495	1	1	1	1	0.0000057019266118744	1	1	1	1	1	1	1	1
A1B245	1	1	1	1	1	1	1	1	1	1	1	0.0000000000000000000000000000000000000933308971802884	1	1	1	1	1	0.0567027161405982	1	1
A1B246	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A1B247	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A2B236	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A2B237	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A2B238	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A2B239	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A2B240	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A2B241	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A2B242	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A2B243	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A2B244	1	1	1	1	1	1	1	1	1	1	1	1	0.00183052813536735	1	1	1	1	1	1	1
A2B245	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A2B246	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A2B247	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A3B236	1	0.119703854752381	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A3B237	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A3B238	1	0.440771247955149	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A3B239	1	1	1	1	1	1	1	1	1	1	1	1	0.900806834361652	1	1	1	1	1	1	1
A3B240	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A3B241	1	1	1	1	1	1	1	1	1	1	1	1	0.388580397383586	1	1	1	1	1	1	1
A3B242	1	0.000000000000799821323622689	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A3B243	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A3B244	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A3B245	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A3B246	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A3B247	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A5B236	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A5B237	1	1	1	0.0013129695065491	1	0.0312050441030194	0.563919725575993	0.483359764779423	0.0451477233830919	1	0.000154467000770483	1	0.00328242376637274	1	0.403424645260471	0.000000531804460224301	1	0.0624100882060388	1	0.215314804310834
A5B238	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A5B239	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A5B240	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A5B241	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A5B242	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A5B243	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A5B244	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A5B245	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A5B246	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A5B247	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A6B236	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A6B237	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A6B238	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A6B239	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A6B240	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A6B241	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
