	BC-456	BC-457	BC-458	BC-459	BC-460	BC-461	BC-464	BC-465	BC-466	BC-467	BC-468	BC-469	BC-470	BC-471	BC-472	BC-473	BC-474	BC-475	BC-476	BC-477
A5B233	2.05063663551164	0.537027822618158	-2.57527124010078	0.603784457221419	0.503967151372807	-2.63845437028768	-2.563540007892	-2.65266218761324	-2.70361026280532	-2.62583894491389	1.59954844591085	-2.50345595305676	-2.67350873262225	-2.84036208480994	0.428860516851732	1.77829267120183	-2.58315627156143	-2.65782772760457	-2.63666393868452	-2.64265419077912
A5B234	3.2378990363716	-1.86809288868343	-1.79842496368989	2.31171313979528	-1.87487814559831	1.4007811644315	-1.78838589322814	-1.86494377389143	3.97978555042639	-1.84183210051065	-1.84146861746595	-1.73715522093524	2.16955774620698	-2.02828006480884	2.13377775803534	3.75928899323981	-1.8051792276262	3.19515792426227	1.40858645392274	3.26322708970451
A5B235	0.612505075887784	1.53306066100088	2.5320277894603	-3.52018528107468	-3.54539236292752	-0.263975442430138	-3.43580435350643	-0.327596154199839	1.32471809902498	-3.50372846091879	0.721696186275696	-3.37003787014085	1.05263611451273	-3.73572395560345	-0.454798559477613	1.60408969439972	-3.45722048746384	2.09657486901055	-3.51550417864981	-3.52201721018426
A6B224	0.0668257879882525	-3.1609467316356	1.92806616536669	1.02183186232754	-3.1692434558037	0.111389877083965	-3.06281506827839	-3.15709316806656	0.748247409104226	0.169818943012636	-3.1283068854915	-2.99905965972761	0.872488249932659	-3.35461291241915	-0.0789800960488334	-0.191399438460025	-3.08359527761629	0.0258731085736374	-3.14019401082561	2.54408061473082
A6B225	-3.52733796898947	-0.343754988557256	0.0567646966445164	-0.275668369482741	0.539941646365939	-3.51768773734732	-3.43604082182056	-0.32783280855564	-3.58803506125496	-3.5039650609228	-0.203382983079614	0.534471762224889	1.05365248715586	-0.990563866252105	1.01534671500435	0.89278994734516	-3.45745699808851	-3.53874112338742	-3.51574080075377	-0.283297086787161
A6B226	-3.52784597071029	-3.53634600270943	-3.44810372143239	-3.51967349719268	-3.54488046976515	-3.51693933971554	0.125599007366942	1.14963953760563	-3.58854331443183	-3.50321674959274	-0.202634674657019	-3.36952678565968	-3.55591039667316	-3.73521130488546	-3.56549681056292	-3.596989682417	-3.4567089864974	-3.53799259519953	-3.51499241530796	-0.282548660651073
A6B227	-0.603953505939643	-0.638059477985242	-3.74156112062961	-3.81443259213735	-3.84008259576327	0.364130858715035	-3.72851033370013	-3.82736496831126	-3.88610562285063	-3.79768232600969	0.986764590187006	-3.66147721859795	-3.8529145170616	-4.03351627363415	0.717669125042273	0.597445433964887	-3.75032639605246	-0.644653985297587	-3.80966836610197	-0.577340219030325
A6B228	4.14085918179816	4.11224293429698	0	0	0.00000000000000128137060152597	0	0	0	-0.00000000000000128137060152597	0	3.30012241158639	0	3.1377304467273	0	4.02521478890354	3.02853093419394	0	0.00000000000000128137060152597	0	0
A6B229	1.35948350452523	2.24333089891404	4.75872633190644	-1.85568037692255	-1.87569735501316	-1.85351350722172	-1.78920426348756	-1.86576289131112	-1.90929632996789	1.45592135878545	1.45783489848454	-1.73797305047795	-1.88323765428008	-2.02910056712229	-1.89088045545744	1.11122711686891	1.66417076302834	-1.87022051642019	-1.85197105368973	6.47271856683736
A6B230	-2.6471247113527	-2.65710621199168	-2.57606510743282	-2.64176347106172	-2.66496544165998	-2.63924873688628	-2.56433377918567	-2.65345666244447	-2.70307077126581	-2.62663321419255	-2.62621080189381	-2.50424921518062	-2.67296939164446	-2.84115786358222	-2.68180664141933	-2.71303075435923	-2.58395020284427	0.529798215966263	-2.63745829154127	0.595508168112527
A6B231	-1.86092265641858	-1.86891203538294	-1.79924343594024	-1.85568037692255	-1.87569735501316	-1.85351350722172	-1.78920426348756	-1.86576289131112	-1.90929632996789	-1.84265099962853	1.45783489848454	-1.73797305047795	-1.88323765428008	-2.02910056712229	-1.89088045545744	2.01999986213946	-1.80599776779149	-1.87022051642019	-1.85197105368973	-1.85713268429296
A6B232	2.27993652537957	1.32442749682609	1.70637293701369	-1.85568037692255	-1.87569735501316	-1.85351350722172	-1.78920426348756	-1.86576289131112	-1.90929632996789	-1.84265099962853	-1.84228751310185	-1.73797305047795	3.12599919199933	-2.02910056712229	2.1343343334461	-1.91730381732503	-1.80599776779149	3.19433876542922	-1.85197105368973	2.30332154669968
A6B233	-3.82386601520195	-0.64001079069459	-3.74351099965892	-3.81638364176886	-3.84203404177386	-3.81360091077015	-3.73045999590438	-3.82931621878568	0.0752423828166144	-3.79963311246338	0.42579978755465	-3.66342573118093	-3.85242075416985	-4.03547046720097	-0.750965897185062	-0.866504384379474	-3.75227641946055	0.272013134992522	-3.81161934122983	-3.81824805537578
A6B234	0.066302570510815	-3.16147379135797	0.429845335869381	0.0994839280267058	-3.16977055443435	-3.14261276234017	-3.06334164628284	-3.1576202096238	2.26955955237689	-3.12928032152317	0.171288622133327	0.905160063770998	0.871964907470624	-3.35514081310778	1.38962534197332	1.2700708090772	-3.08412196103643	0.0253460413236613	-3.14072097201583	0.0919069381873642
A6B235	-0.849748086901909	-4.08053558146465	-0.483981945004279	-4.06336681380389	-0.92118377196404	-0.807075038915684	-3.9763819789862	-4.07645364570466	-0.171765512007369	-4.04641439902633	-0.74581839551674	-3.90847420545462	-0.0456937463460795	-4.28488702702867	-0.997704263715546	-0.205631679395	-3.99847393429199	-4.08223086561592	-4.05854533283516	-4.06525355185208
A7B224	0.317486700564635	-3.83407798394986	0.696426870884258	-3.8171112051337	-0.674623720735134	-0.560852788810287	-3.73118704411301	-3.83004385672396	1.02865183774826	-3.80036057810961	-3.79989265714804	-3.6641523525299	1.94533727766224	-4.03619919791139	2.09550214212424	0.993668132209086	-3.75300360178553	-3.83575345181549	-3.81234687693127	-0.580018871904039
A7B225	2.05063663551164	2.01415373250681	1.86673055278274	-2.6396314101943	-2.66283290673017	-2.6371167280218	-2.56220337751115	-2.65132436137479	1.25724385378038	-2.62450146807095	-2.62407906462383	-2.50212018814063	1.37984319573376	-0.0936249536998808	3.27483487372491	1.22640641007333	-2.58181936923605	2.40806944676561	0.624412199956197	-2.64131649387564
A7B226	0.0668257879882525	-3.16354252914594	-3.07783816128509	-3.1473380560822	-3.17183944225867	-3.1446811550863	-3.06540852646274	0.0456083435529493	-0.161957411887132	-3.13134846700017	-3.1309019265997	-3.00165148866408	-3.18086367842336	-3.35721279371406	-3.19018663993774	-0.193996550828308	-3.08618924772656	-3.1651431828884	-3.14278932984695	0.0898384637710876
A7B227	-1.86092265641858	-1.86891203538294	-1.79924343594024	-1.85568037692255	-1.87569735501316	-1.85351350722172	-1.78920426348756	-1.86576289131112	-1.90929632996789	-1.84265099962853	2.38267746870279	-1.73797305047795	-1.88323765428008	-2.02910056712229	1.22032608843146	1.11122711686891	-1.80599776779149	-1.87022051642019	-1.85197105368973	-1.85713268429296
A7B228	0.066302570510815	0.950769142939004	-3.07577103708455	-3.14526961439597	-3.16977055443435	0.110862906839453	-3.06334164628284	0.047677011293249	-0.16248089617282	-3.12928032152317	-3.12883378945307	-2.99958590224114	-3.18138702088539	-3.35514081310778	-3.1907100244493	-3.22045770313894	-3.08412196103643	-3.1630744160728	0.11901754771721	-3.14704981944666
A7B229	-3.15358037295556	0.0310953677015392	-3.07654081420932	0.098713664250222	-3.17054098300366	1.03239775529667	-3.06411133327086	0.0469066640176748	-3.21260670748148	-3.13005047588663	0.170518470846915	-3.00035511133588	0.872488249932659	-3.35591238405971	-0.0789800960488334	-0.192697527756559	-3.08489179818177	1.4999762895397	0.118247314914887	0.0911366623211565
A7B230	0.572202860936348	-2.65551758109528	1.86618725382952	-2.6401750730176	-2.66337669277545	-2.63766037732815	-2.562746609072	-2.65186808663321	-2.70414992678781	-2.62504504908363	0.675499768250644	-2.50266306241156	-2.67404824584231	-0.0941695940347495	1.34232920394678	1.77908720983539	-2.58236271306524	-2.65703358770658	-2.63586995943991	-2.64186016573879
A7B231	2.05063663551164	-2.65631170959087	-2.57527124010078	-2.64096908520126	-2.66417088020721	-2.63845437028768	-2.563540007892	-2.65266218761324	-2.70361026280532	-2.62583894491389	-2.6254165358938	-2.50345595305676	-2.67350873262225	-2.84036208480994	-2.68234602703717	-2.7122358410143	-2.58315627156143	-2.65782772760457	-2.63666393868452	-2.64265419077912
A7B232	2.05063663551164	0.537027822618158	1.865393759159	-2.64096908520126	-2.66417088020721	-2.63845437028768	-2.563540007892	-2.65266218761324	1.81098816450191	-2.62583894491389	2.15856246949099	-2.50345595305676	1.37984319573376	-2.84036208480994	-2.68234602703717	1.22506783845019	-2.58315627156143	0.530592729791888	-2.63666393868452	0.596302566854911
A7B233	1.54419696472598	0.950769142939004	-3.07577103708455	-3.14526961439597	-3.16977055443435	1.0331680009958	-3.06334164628284	-3.1576202096238	-3.21313019176716	0.169292036890816	0.171288622133327	-2.99958590224114	-0.0436565741580942	-3.35514081310778	-0.0795034805604005	-3.22045770313894	-3.08412196103643	0.943964500113096	-3.14072097201583	-3.14704981944666
A7B234	-3.154103590433	0.0318657408510521	0.429845335869381	-3.14526961439597	-0.00163252285433545	1.0331680009958	-3.06334164628284	0.047677011293249	2.01296359201145	-3.12928032152317	1.09613119235158	-2.99958590224114	-0.0436565741580942	-3.35514081310778	0.834504764454238	1.668973753114	-3.08412196103643	-3.1630744160728	-3.14072097201583	1.01340441154597
A7B235	1.35892711796278	2.24415004561355	2.64224003556989	-1.85486135399237	-1.87487814559831	-1.85269450474812	-1.78838589322814	-1.86494377389143	-1.9098530181866	-1.84183210051065	2.3834963643387	2.16759074507691	2.72526058216526	-2.02828006480884	-1.8914370308682	2.02081944528234	-1.8051792276262	2.23763755859875	-1.85115206581029	1.38264310995218
