barcode	sample	count.1	input.1	input.2	input.3	log_fold_change	p	-log10(p)	masked_p (p = 1 if logFC < 0)	-log10(masked_p)	count.normalised (edgeR)	input.normalised (edgeR)	Peptide	HLA	RCC.sample
A22B80	RCC 19 PE+	1	0	1	3	0.107525434835352	1	0	1	0	0.0771425226238178	0.0842524545241513	115	C0702	RCC 19
A22B81	RCC 19 PE+	1	4	2	1	-0.583651137549272	1	0	1	0	0.0771425226238178	0.113263039884513	98	C0702	RCC 19
A22B82	RCC 19 PE+	1	2	0	4	-0.409377803106397	1	0	1	0	0.0771425226238178	0.111050348271674	95	C0702	RCC 19
A22B83	RCC 19 PE+	0	0	2	2	-3.46949663101519	1	0	1	0	0	0.0831687349845677	118	C0702	RCC 19
A22B84	RCC 19 PE+	0	0	2	3	-3.77351156617094	1	0	1	0	0	0.104502778500501	75	C0702	RCC 19
A23B61	RCC 19 PE+	1	1	1	0	1.02311936819364	1	0	1	0	0.0771425226238178	0.0331074110803198	120	C0702	RCC 19
A23B62	RCC 19 PE+	1	1	1	1	0.511299706822111	1	0	1	0	0.0771425226238178	0.0544414545962535	87	C0702	RCC 19
A23B63	RCC 19 PE+	0	2	1	0	-3.04492144359947	1	0	1	0	0	0.0459644981842894	122	C0702	RCC 19
A23B64	RCC 19 PE+	0	0	0	2	-2.58153155040806	1	0	1	0	0	0.0426680870318675	83	C0702	RCC 19
A23B65	RCC 19 PE+	0	0	0	0	0	1	0	1	0	0	0	124	C0702	RCC 19
A23B66	RCC 19 PE+	0	0	1	0	-1.79477723874367	1	0	1	0	0	0.0202503239763501	125	C0702	RCC 19
A23B67	RCC 19 PE+	1	0	0	0	3.57896943533461	1	0	1	0	0.0771425226238178	0	126	C0702	RCC 19
A25B61	RCC 19 PE+	1	0	3	1	-0.225300201822516	1	0	1	0	0.0656765766331736	0.0814286689919151	24	A0201	Virus
A25B62	RCC 19 PE+	1	2	2	1	-0.527042727617878	1	0	1	0	0.0656765766331736	0.103320861202973	13	A0201	Virus
A25B63	RCC 19 PE+	5	0	1	2	2.36733975672903	1	0	1	0	0.328382883165868	0.053396376928541	6	A0201	Virus
A25B64	RCC 19 PE+	0	0	0	1	-1.83469408669583	1	0	1	0	0	0.0157520923587415	16	A0201	Virus
A25B65	RCC 19 PE+	0	0	0	0	0	1	0	1	0	0	0	5	A0201	Virus
A25B66	RCC 19 PE+	0	0	0	1	-1.83469408669583	1	0	1	0	0	0.0157520923587415	10	A0201	Virus
A25B67	RCC 19 PE+	0	2	1	1	-3.65318710682699	1	0	1	0	0	0.0337533785390636	20	B0702	Virus
A26B61	RCC 19 PE+	0	1	1	5	-4.2300555056961	1	0	1	0	0	0.122544846215823	3	A0201	Virus
A26B62	RCC 19 PE+	2	2	1	1	0.138126875391932	1	0	1	0	0.0381911049197457	0.0337533785390636	14	B0702	Virus
A26B63	RCC 19 PE+	3	1	0	5	0.136745027634507	1	0	1	0	0.0572866573796185	0.051088434575193	21	B0702	Virus
